,DWHotelID,Unnamed: 0,w,Date,ListPriceTRY,PurchaseAmountTRY,RatingTripA,ProfitRate,featureScore,Date_year,Date_week,rooms_old,#rooms,empty_rooms,rewardrate,list_price,moving_avg
7757,450.0,6903,11.0,2021-30,1595.4545454545455,893.4545454545455,5.0,0.7857142857142857,0.8234691680289685,2021,30,7.0,49.0,38.001,18.473198073734903,1260.0,25.0
8180,538.0,11069,3.0,2019-38,1400.0,868.0,4.5,0.6129032258064516,0.8011504860342068,2019,38,25.0,175.0,172.001,3.093005273225156,1080.0,25.0
8404,589.0,7857,10.0,2017-30,498.0,290.5,4.5,0.7142857142857143,0.6431358288362716,2017,30,21.0,147.0,137.001,1.5145874847628849,450.0,-875.0
8405,589.0,7858,13.0,2017-31,813.5384615384615,452.61538461538464,4.5,0.797416723317471,0.6431358288362716,2017,31,21.0,147.0,134.001,2.693435697667009,600.0,-275.0
8406,589.0,7859,10.0,2017-32,867.1,495.0,4.5,0.7517171717171718,0.6431358288362716,2017,32,21.0,147.0,137.001,2.71603856906154,630.0,-275.0
8407,589.0,7860,10.0,2017-33,1521.2,854.7,4.5,0.7798057798057798,0.6431358288362716,2017,33,21.0,147.0,137.001,4.864927993226327,1680.0,25.0
8408,589.0,7861,18.0,2017-34,936.2777777777778,541.1666666666666,4.5,0.7301098449851147,0.6431358288362716,2017,34,21.0,147.0,129.001,3.0628530872715034,690.0,-275.0
8412,589.0,7865,0.0,2017-38,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2017,38,21.0,147.0,147.001,1.999986394650376,600.0,-275.0
8413,589.0,7866,0.0,2018-21,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2018,21,21.0,147.0,147.001,1.999986394650376,600.0,-275.0
8414,589.0,7867,0.0,2018-22,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2018,22,21.0,147.0,147.001,1.999986394650376,780.0,25.0
8415,589.0,7868,5.0,2018-23,744.8,450.8,4.5,0.6521739130434782,0.6431358288362716,2018,23,21.0,147.0,142.001,2.070407954873557,630.0,-275.0
8420,589.0,7874,13.0,2018-29,872.9230769230769,488.3076923076923,4.5,0.7876496534341524,0.6431358288362716,2018,29,21.0,147.0,134.001,2.8702426445726865,630.0,-275.0
8421,589.0,7875,10.0,2018-30,798.6,468.7,4.5,0.7038617452528271,0.6431358288362716,2018,30,21.0,147.0,137.001,2.408011620353136,870.0,25.0
8422,589.0,7876,13.0,2018-31,1520.6153846153843,858.4615384615385,4.5,0.7713261648745516,0.6431358288362716,2018,31,21.0,147.0,134.001,4.941409736896335,1050.0,-275.0
8440,589.0,7899,5.0,2019-36,1652.0,865.2,4.5,0.9093851132686084,0.6431358288362716,2019,36,21.0,147.0,142.001,5.540806050661614,1080.0,25.0
8553,701.0,829,6.0,2019-22,940.0,517.0,4.5,0.8181818181818182,1.3469115660906912,2019,22,5.0,35.0,29.001,14.585703941243406,570.0,25.0
8560,701.0,843,6.0,2019-36,1350.0,742.5,4.5,0.8181818181818182,1.3469115660906912,2019,36,5.0,35.0,29.001,20.947553532636803,840.0,25.0
8561,701.0,844,9.0,2019-37,1664.4444444444443,962.7777777777778,4.5,0.7287939988459318,1.3469115660906912,2019,37,5.0,35.0,26.001,26.986141558657994,1050.0,25.0
8562,701.0,845,11.0,2019-38,1760.0,1048.1818181818182,4.5,0.679098005203816,1.3469115660906912,2019,38,5.0,35.0,24.001,29.65785516512569,1110.0,25.0
